date,forecast
2025-04-25,1.9036000000000017
2025-04-26,0.6409000000000001
2025-04-27,0.3757000000000001
2025-04-28,0.5525000000000001
2025-04-29,0.8183
2025-04-30,1.1956000000000002
2025-05-01,0.5088000000000001
2025-05-02,0.44250000000000006
2025-05-03,0.8177999999999997
2025-05-04,0.3315000000000001
2025-05-05,0.3536000000000001
2025-05-06,0.6414
2025-05-07,0.642
2025-05-08,1.0619999999999994
2025-05-09,0.44240000000000007
2025-05-10,0.5747000000000001
2025-05-11,0.3536000000000001
2025-05-12,0.4420000000000001
2025-05-13,0.8180000000000001
2025-05-14,0.6196
2025-05-15,1.3503999999999996
2025-05-16,0.1548
2025-05-17,0.5526000000000001
2025-05-18,0.3536000000000001
2025-05-19,0.4420000000000001
2025-05-20,0.8180000000000001
2025-05-21,0.6196
2025-05-22,1.3503999999999996
2025-05-23,0.13260000000000002
2025-05-24,0.5747000000000001
