platform_name,Facebook Ads,Facebook Pages,Instagram,Website
Facebook Ads,1.0,0.4886575630203375,0.25613242871597286,0.0027711055564699416
Facebook Pages,0.4886575630203375,1.0,0.08897479487753951,0.13293041912407497
Instagram,0.25613242871597286,0.08897479487753951,1.0,0.06051714949707837
Website,0.0027711055564699416,0.13293041912407497,0.06051714949707837,1.0
