platform_name,Facebook Ads,Facebook Pages,Instagram
Facebook Ads,1.0,0.4928070090612466,0.15237901614435065
Facebook Pages,0.4928070090612466,1.0,0.27494945598172865
Instagram,0.15237901614435065,0.27494945598172865,1.0
