platform_name,Facebook Pages,Instagram,Website
Facebook Pages,1.0,-0.003671232903103321,-0.02125266380662239
Instagram,-0.003671232903103321,1.0,0.10132522602926451
Website,-0.02125266380662239,0.10132522602926451,1.0
