date,forecast
2025-04-22,1.7093999999999994
2025-04-23,1.9091999999999993
2025-04-24,1.1099999999999997
2025-04-25,1.3541999999999996
2025-04-26,1.3097999999999996
2025-04-27,2.6197999999999992
2025-04-28,1.6875999999999995
2025-04-29,1.6427999999999994
2025-04-30,1.3319999999999996
2025-05-01,0.7103999999999999
2025-05-02,1.0433999999999997
2025-05-03,0.7769999999999999
2025-05-04,1.3097999999999996
2025-05-05,0.9989999999999998
2025-05-06,1.0433999999999997
2025-05-07,1.0433999999999997
2025-05-08,0.5328
2025-05-09,0.7991999999999999
2025-05-10,0.8879999999999998
2025-05-11,1.4207999999999996
2025-05-12,1.0655999999999997
2025-05-13,1.2875999999999996
2025-05-14,1.2875999999999996
2025-05-15,0.7991999999999999
2025-05-16,0.7991999999999999
2025-05-17,0.8879999999999998
2025-05-18,1.3763999999999996
2025-05-19,1.0211999999999997
2025-05-20,1.2875999999999996
2025-05-21,1.0211999999999997
