date,forecast
2025-04-25,1226.3031000000003
2025-04-26,1224.274000000001
2025-04-27,1015.3403000000004
2025-04-28,1185.204400000001
2025-04-29,1081.6664000000003
2025-04-30,1075.9166000000007
2025-05-01,1033.5165000000004
2025-05-02,1002.9068000000003
2025-05-03,1308.7706000000012
2025-05-04,1288.5707000000011
2025-05-05,1364.6532000000013
2025-05-06,1333.8525
2025-05-07,1385.8861999999997
2025-05-08,1357.0728000000004
2025-05-09,1258.8489000000009
2025-05-10,1312.9280000000012
2025-05-11,1253.4459000000013
2025-05-12,1320.8043000000014
2025-05-13,1252.4761000000008
2025-05-14,1287.8109000000009
2025-05-15,1235.9184000000012
2025-05-16,1223.7491000000014
2025-05-17,1288.7051000000013
2025-05-18,1233.741200000001
2025-05-19,1365.036100000001
2025-05-20,1264.0412000000003
2025-05-21,1333.7829000000004
2025-05-22,1257.511100000001
2025-05-23,1294.5616000000011
2025-05-24,1281.9220000000014
