date,forecast
2025-04-25,3.9124000000000025
2025-04-26,2.0723000000000016
2025-04-27,2.072000000000002
2025-04-28,1.450400000000001
2025-04-29,2.351500000000002
2025-04-30,2.9378000000000015
2025-05-01,2.5911000000000013
2025-05-02,3.186900000000002
2025-05-03,2.253500000000002
2025-05-04,2.072000000000002
2025-05-05,1.450400000000001
2025-05-06,2.351500000000002
2025-05-07,2.8699000000000017
2025-05-08,2.3060000000000014
2025-05-09,4.067700000000003
2025-05-10,2.253500000000002
2025-05-11,2.072000000000002
2025-05-12,1.450400000000001
2025-05-13,2.351500000000002
2025-05-14,2.8699000000000017
2025-05-15,2.3060000000000014
2025-05-16,4.508200000000003
2025-05-17,2.253500000000002
2025-05-18,2.072000000000002
2025-05-19,1.450400000000001
2025-05-20,2.351500000000002
2025-05-21,2.8699000000000017
2025-05-22,2.3060000000000014
2025-05-23,4.508200000000003
2025-05-24,2.253500000000002
