platform_name,Facebook Ads,Facebook Pages,Instagram,Website
Facebook Ads,1.0,-0.002873380036287395,0.3770466804071814,-0.037957538334793255
Facebook Pages,-0.002873380036287395,1.0,0.07803493950175593,-0.07547761686228391
Instagram,0.3770466804071814,0.07803493950175593,1.0,0.12174830995643728
Website,-0.037957538334793255,-0.07547761686228391,0.12174830995643728,1.0
