day,hour,value
Friday,0,198.83666164561498
Monday,0,182.91271463694258
Saturday,0,109.71603468773141
Sunday,0,90.58735180200458
Thursday,0,171.84052728736754
Tuesday,0,175.81041207778767
Wednesday,0,180.40616810077196
