Client_Name,year,month,metric_name,value
Unknown Client,2024,9,Emails Sent,472.0
Unknown Client,2024,9,Open Rate,0.4869565217391304
Unknown Client,2024,9,Click Rate,0.02826087
Unknown Client,2024,9,Total Clicks,59.0
Unknown Client,2024,9,Unique Clicks,33.0
Unknown Client,2024,9,Unique Subscriber Clicks,13.0
Unknown Client,2024,10,Emails Sent,473.0
Unknown Client,2024,10,Open Rate,0.5021739130434782
Unknown Client,2024,10,Click Rate,0.026086957
Unknown Client,2024,10,Total Clicks,20.0
Unknown Client,2024,10,Unique Clicks,17.0
Unknown Client,2024,10,Unique Subscriber Clicks,12.0
Unknown Client,2024,11,Emails Sent,474.0
Unknown Client,2024,11,Open Rate,0.4739130434782608
Unknown Client,2024,11,Click Rate,0.0152173913043478
Unknown Client,2024,11,Total Clicks,26.0
Unknown Client,2024,11,Unique Clicks,17.0
Unknown Client,2024,11,Unique Subscriber Clicks,7.0
Unknown Client,2024,12,Emails Sent,467.0
Unknown Client,2024,12,Open Rate,0.5205183585313174
Unknown Client,2024,12,Click Rate,0.021598272
Unknown Client,2024,12,Total Clicks,35.0
Unknown Client,2024,12,Unique Clicks,15.0
Unknown Client,2024,12,Unique Subscriber Clicks,10.0
Unknown Client,2025,1,Emails Sent,462.0
Unknown Client,2025,1,Open Rate,0.4924078091106291
Unknown Client,2025,1,Click Rate,0.0195227765726681
Unknown Client,2025,1,Total Clicks,17.0
Unknown Client,2025,1,Unique Clicks,15.0
Unknown Client,2025,1,Unique Subscriber Clicks,9.0
Unknown Client,2025,1,Emails Sent,462.0
Unknown Client,2025,1,Open Rate,0.5238095238095238
Unknown Client,2025,1,Click Rate,0.0151515151515151
Unknown Client,2025,1,Total Clicks,18.0
Unknown Client,2025,1,Unique Clicks,13.0
Unknown Client,2025,1,Unique Subscriber Clicks,7.0
Unknown Client,2025,2,Emails Sent,461.0
Unknown Client,2025,2,Open Rate,0.5708061002178649
Unknown Client,2025,2,Click Rate,0.0108932461873638
Unknown Client,2025,2,Total Clicks,9.0
Unknown Client,2025,2,Unique Clicks,8.0
Unknown Client,2025,2,Unique Subscriber Clicks,5.0
