Client_Name,full_date,platform_name,metric_name,metric_category,value,inferred_post,inferred_post_flag
Michigan Minds,2025-04-19,Facebook Ads,Impressions,Reach,22912.0,0,1
Michigan Minds,2025-04-19,Facebook Ads,Frequency,Reach,1.573518,0,1
Michigan Minds,2025-04-19,Facebook Ads,CPM,Cost,1.644117,0,1
Michigan Minds,2025-04-19,Facebook Ads,Clicks,Engagement,111.0,1,1
Michigan Minds,2025-04-19,Facebook Ads,Amount Spent,Cost,37.67,0,1
Michigan Minds,2025-04-19,Facebook Ads,Link Clicks,Engagement,107.0,1,1
Michigan Minds,2025-04-19,Facebook Ads,Cost_like,Cost,0.0,0,1
Michigan Minds,2025-04-19,Facebook Ads,Cost_link_click,Cost,0.352056,0,1
Michigan Minds,2025-04-19,Facebook Ads,Cost_onsite_conversion.messaging_welcome_message_view,Cost,0.0,0,1
Michigan Minds,2025-04-19,Facebook Ads,Cost_page_engagement,Cost,0.352056,0,1
Michigan Minds,2025-04-19,Facebook Ads,Cost_post_engagement,Cost,0.352056,0,1
Michigan Minds,2025-04-19,Facebook Ads,Cost_rsvp,Cost,0.0,0,1
Michigan Minds,2025-04-19,Facebook Ads,Cost_video_view,Cost,0.0,0,1
Michigan Minds,2025-04-19,Facebook Ads,Action_comment,Action,0.0,0,1
Michigan Minds,2025-04-19,Facebook Ads,Action_like,Action,0.0,0,1
Michigan Minds,2025-04-19,Facebook Ads,Action_link_click,Action,107.0,0,1
Michigan Minds,2025-04-19,Facebook Ads,Action_onsite_conversion.messaging_welcome_message_view,Action,0.0,0,1
Michigan Minds,2025-04-19,Facebook Ads,Action_page_engagement,Action,107.0,0,1
Michigan Minds,2025-04-19,Facebook Ads,Action_post,Action,0.0,0,1
Michigan Minds,2025-04-19,Facebook Ads,Action_post_engagement,Action,107.0,0,1
Michigan Minds,2025-04-19,Facebook Ads,Action_post_reaction,Action,0.0,0,1
Michigan Minds,2025-04-19,Facebook Ads,Action_rsvp,Action,0.0,0,1
Michigan Minds,2025-04-19,Facebook Ads,Action_video_view,Action,0.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Reach,Reach,12885.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Impressions,Reach,21462.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Frequency,Reach,1.665658,0,1
Michigan Minds,2025-04-20,Facebook Ads,CPM,Cost,1.790141,0,1
Michigan Minds,2025-04-20,Facebook Ads,Clicks,Engagement,98.0,1,1
Michigan Minds,2025-04-20,Facebook Ads,Amount Spent,Cost,38.42,0,1
Michigan Minds,2025-04-20,Facebook Ads,Link Clicks,Engagement,92.0,1,1
Michigan Minds,2025-04-20,Facebook Ads,Cost_like,Cost,0.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Cost_link_click,Cost,0.417609,0,1
Michigan Minds,2025-04-20,Facebook Ads,Cost_onsite_conversion.messaging_welcome_message_view,Cost,0.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Cost_page_engagement,Cost,0.413118,0,1
Michigan Minds,2025-04-20,Facebook Ads,Cost_post_engagement,Cost,0.413118,0,1
Michigan Minds,2025-04-20,Facebook Ads,Cost_rsvp,Cost,0.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Cost_video_view,Cost,0.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Action_comment,Action,0.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Action_like,Action,0.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Action_link_click,Action,92.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Action_onsite_conversion.messaging_welcome_message_view,Action,0.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Action_page_engagement,Action,93.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Action_post,Action,0.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Action_post_engagement,Action,93.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Action_post_reaction,Action,1.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Action_rsvp,Action,0.0,0,1
Michigan Minds,2025-04-20,Facebook Ads,Action_video_view,Action,0.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Reach,Reach,16945.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Impressions,Reach,27173.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Frequency,Reach,1.6036,0,1
Michigan Minds,2025-04-21,Facebook Ads,CPM,Cost,1.37379,0,1
Michigan Minds,2025-04-21,Facebook Ads,Clicks,Engagement,128.0,1,1
Michigan Minds,2025-04-21,Facebook Ads,Amount Spent,Cost,37.33,0,1
Michigan Minds,2025-04-21,Facebook Ads,Link Clicks,Engagement,126.0,1,1
Michigan Minds,2025-04-21,Facebook Ads,Cost_like,Cost,0.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Cost_link_click,Cost,0.29627,0,1
Michigan Minds,2025-04-21,Facebook Ads,Cost_onsite_conversion.messaging_welcome_message_view,Cost,0.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Cost_page_engagement,Cost,0.293937,0,1
Michigan Minds,2025-04-21,Facebook Ads,Cost_post_engagement,Cost,0.293937,0,1
Michigan Minds,2025-04-21,Facebook Ads,Cost_rsvp,Cost,0.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Cost_video_view,Cost,0.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Action_comment,Action,0.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Action_like,Action,0.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Action_link_click,Action,126.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Action_onsite_conversion.messaging_welcome_message_view,Action,0.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Action_page_engagement,Action,127.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Action_post,Action,0.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Action_post_engagement,Action,127.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Action_post_reaction,Action,1.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Action_rsvp,Action,0.0,0,1
Michigan Minds,2025-04-21,Facebook Ads,Action_video_view,Action,0.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Reach,Reach,17880.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Impressions,Reach,27705.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Frequency,Reach,1.549497,0,1
Michigan Minds,2025-04-22,Facebook Ads,CPM,Cost,1.237322,0,1
Michigan Minds,2025-04-22,Facebook Ads,Clicks,Engagement,100.0,1,1
Michigan Minds,2025-04-22,Facebook Ads,Amount Spent,Cost,34.28,0,1
Michigan Minds,2025-04-22,Facebook Ads,Link Clicks,Engagement,89.0,1,1
Michigan Minds,2025-04-22,Facebook Ads,Cost_like,Cost,0.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Cost_link_click,Cost,0.385169,0,1
Michigan Minds,2025-04-22,Facebook Ads,Cost_onsite_conversion.messaging_welcome_message_view,Cost,0.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Cost_page_engagement,Cost,0.372609,0,1
Michigan Minds,2025-04-22,Facebook Ads,Cost_post_engagement,Cost,0.372609,0,1
Michigan Minds,2025-04-22,Facebook Ads,Cost_rsvp,Cost,0.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Cost_video_view,Cost,0.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Action_comment,Action,0.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Action_like,Action,0.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Action_link_click,Action,89.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Action_onsite_conversion.messaging_welcome_message_view,Action,0.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Action_page_engagement,Action,92.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Action_post,Action,0.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Action_post_engagement,Action,92.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Action_post_reaction,Action,3.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Action_rsvp,Action,0.0,0,1
Michigan Minds,2025-04-22,Facebook Ads,Action_video_view,Action,0.0,0,1
Michigan Minds,2025-04-23,Facebook Ads,Reach,Reach,18867.0,0,1
